symbol,period_end_date,period_type,revenue,operating_profit,net_income,total_assets,total_equity,total_debt,cash,operating_cash_flow,capex,dividends_paid,shares_outstanding,source,currency
PRESCO,2023-12-31,ANNUAL,85000000000,40000000000,30000000000,145000000000,100000000000,7000000000,15000000000,33000000000,12000000000,10000000000,1000000000,annual_reports_2024,NGN
FCMB,2022-12-31,ANNUAL,195000000000,72000000000,32000000000,3300000000000,250000000000,0,400000000000,60000000000,8000000000,10000000000,19765948806,annual_reports_2024,NGN
FCMB,2023-12-31,ANNUAL,350000000000,140000000000,75000000000,5000000000000,380000000000,0,600000000000,100000000000,12000000000,20000000000,19765948806,annual_reports_2024,NGN
TRANSCORP,2022-12-31,ANNUAL,180000000000,55000000000,35000000000,500000000000,200000000000,120000000000,30000000000,50000000000,25000000000,12000000000,40000000000,annual_reports_2024,NGN
TRANSCORP,2023-12-31,ANNUAL,250000000000,80000000000,55000000000,650000000000,260000000000,140000000000,40000000000,70000000000,30000000000,18000000000,40000000000,annual_reports_2024,NGN
JBERGER,2022-12-31,ANNUAL,280000000000,28000000000,18000000000,350000000000,80000000000,50000000000,40000000000,25000000000,12000000000,8000000000,720000000,annual_reports_2024,NGN
JBERGER,2023-12-31,ANNUAL,350000000000,35000000000,22000000000,420000000000,95000000000,55000000000,50000000000,30000000000,15000000000,10000000000,720000000,annual_reports_2024,NGN
CUSTODIAN,2022-12-31,ANNUAL,72000000000,22000000000,14000000000,350000000000,80000000000,20000000000,40000000000,18000000000,5000000000,6000000000,5826000000,annual_reports_2024,NGN
CUSTODIAN,2023-12-31,ANNUAL,95000000000,30000000000,20000000000,450000000000,100000000000,25000000000,50000000000,24000000000,6000000000,8000000000,5826000000,annual_reports_2024,NGN
UCAP,2022-12-31,ANNUAL,28000000000,16000000000,13000000000,180000000000,55000000000,10000000000,30000000000,14000000000,2000000000,5000000000,6000000000,annual_reports_2024,NGN
UCAP,2023-12-31,ANNUAL,42000000000,25000000000,20000000000,250000000000,75000000000,12000000000,40000000000,20000000000,3000000000,8000000000,6000000000,annual_reports_2024,NGN
CADBURY,2022-12-31,ANNUAL,55000000000,6000000000,3000000000,52000000000,25000000000,8000000000,5000000000,6000000000,3000000000,2000000000,1735135000,annual_reports_2024,NGN
CADBURY,2023-12-31,ANNUAL,68000000000,7500000000,4000000000,60000000000,28000000000,9000000000,6000000000,7000000000,4000000000,2500000000,1735135000,annual_reports_2024,NGN
UNILEVER,2022-12-31,ANNUAL,78000000000,2000000000,-2000000000,65000000000,18000000000,15000000000,4000000000,3000000000,4000000000,0,5716438020,annual_reports_2024,NGN
UNILEVER,2023-12-31,ANNUAL,92000000000,3000000000,-5000000000,70000000000,12000000000,20000000000,3000000000,2000000000,5000000000,0,5716438020,annual_reports_2024,NGN
MANSARD,2022-12-31,ANNUAL,95000000000,18000000000,12000000000,420000000000,70000000000,30000000000,50000000000,15000000000,4000000000,5000000000,10388403066,annual_reports_2024,NGN
MANSARD,2023-12-31,ANNUAL,125000000000,25000000000,18000000000,540000000000,85000000000,35000000000,60000000000,20000000000,5000000000,7000000000,10388403066,annual_reports_2024,NGN
VITAFOAM,2022-12-31,ANNUAL,52000000000,6500000000,3500000000,42000000000,18000000000,8000000000,3000000000,5000000000,3000000000,2000000000,1540000000,annual_reports_2024,NGN
VITAFOAM,2023-12-31,ANNUAL,62000000000,7500000000,4000000000,50000000000,20000000000,10000000000,3500000000,6000000000,3500000000,2500000000,1540000000,annual_reports_2024,NGN
NAHCO,2022-12-31,ANNUAL,18000000000,4000000000,2500000000,25000000000,12000000000,3000000000,4000000000,3500000000,1500000000,1000000000,2613998256,annual_reports_2024,NGN
NAHCO,2023-12-31,ANNUAL,24000000000,6000000000,4000000000,30000000000,15000000000,3500000000,5000000000,5000000000,2000000000,1500000000,2613998256,annual_reports_2024,NGN
OANDO,2022-12-31,ANNUAL,750000000000,60000000000,35000000000,1200000000000,250000000000,400000000000,50000000000,80000000000,40000000000,0,12413153498,annual_reports_2024,NGN
OANDO,2023-12-31,ANNUAL,900000000000,75000000000,45000000000,1400000000000,300000000000,450000000000,60000000000,90000000000,50000000000,0,12413153498,annual_reports_2024,NGN
FIDELITYBK,2022-12-31,ANNUAL,240000000000,90000000000,42000000000,3800000000000,280000000000,0,450000000000,65000000000,10000000000,12000000000,28963000000,annual_reports_2024,NGN
FIDELITYBK,2023-12-31,ANNUAL,430000000000,180000000000,95000000000,6000000000000,420000000000,0,700000000000,120000000000,15000000000,25000000000,28963000000,annual_reports_2024,NGN
WEMABANK,2022-12-31,ANNUAL,85000000000,28000000000,12000000000,1800000000000,100000000000,0,200000000000,30000000000,5000000000,4000000000,32699264478,annual_reports_2024,NGN
WEMABANK,2023-12-31,ANNUAL,160000000000,60000000000,30000000000,2800000000000,160000000000,0,320000000000,55000000000,8000000000,8000000000,32699264478,annual_reports_2024,NGN
